Unicode Code Point,Character,Description
0x0072,r,LATIN SMALL LETTER R
0x0073,s,LATIN SMALL LETTER S
0x0074,t,LATIN SMALL LETTER T
0x0075,u,LATIN SMALL LETTER U
0x0076,v,LATIN SMALL LETTER V
0x0077,w,LATIN SMALL LETTER W
0x0078,x,LATIN SMALL LETTER X
0x0079,y,LATIN SMALL LETTER Y
0x007a,z,LATIN SMALL LETTER Z
0x007b,{,LEFT CURLY BRACKET
0x007c,|,VERTICAL LINE
0x007d,},RIGHT CURLY BRACKET
0x007e,~,TILDE
0x00a0, ,NO-BREAK SPACE
0x00a1,¡,INVERTED EXCLAMATION MARK
0x00a2,¢,CENT SIGN
0x00a3,£,POUND SIGN
0x00a4,¤,CURRENCY SIGN
0x00a5,¥,YEN SIGN
0x00a6,¦,BROKEN BAR
0x00a7,§,SECTION SIGN
0x00a8,¨,DIAERESIS
0x00a9,©,COPYRIGHT SIGN
0x00aa,ª,FEMININE ORDINAL INDICATOR
0x00ab,«,LEFT-POINTING DOUBLE ANGLE QUOTATION MARK
0x00ac,¬,NOT SIGN
0x00ad,­,SOFT HYPHEN
0x00ae,®,REGISTERED SIGN
0x00af,¯,MACRON
0x00b0,°,DEGREE SIGN
0x00b1,±,PLUS-MINUS SIGN
0x00b2,²,SUPERSCRIPT TWO
0x00b3,³,SUPERSCRIPT THREE
0x00b4,´,ACUTE ACCENT
0x00b5,µ,MICRO SIGN
0x00b6,¶,PILCROW SIGN
0x00b7,·,MIDDLE DOT
0x00b8,¸,CEDILLA
0x00b9,¹,SUPERSCRIPT ONE
0x00ba,º,MASCULINE ORDINAL INDICATOR
0x00bb,»,RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK
0x00bc,¼,VULGAR FRACTION ONE QUARTER
0x00bd,½,VULGAR FRACTION ONE HALF
0x00be,¾,VULGAR FRACTION THREE QUARTERS
0x00bf,¿,INVERTED QUESTION MARK
0x00c0,À,LATIN CAPITAL LETTER A WITH GRAVE
0x00c1,Á,LATIN CAPITAL LETTER A WITH ACUTE
0x00c2,Â,LATIN CAPITAL LETTER A WITH CIRCUMFLEX
0x00c3,Ã,LATIN CAPITAL LETTER A WITH TILDE
0x00c4,Ä,LATIN CAPITAL LETTER A WITH DIAERESIS
0x00c5,Å,LATIN CAPITAL LETTER A WITH RING ABOVE
0x00c6,Æ,LATIN CAPITAL LETTER AE
0x00c7,Ç,LATIN CAPITAL LETTER C WITH CEDILLA
0x00c8,È,LATIN CAPITAL LETTER E WITH GRAVE
0x00c9,É,LATIN CAPITAL LETTER E WITH ACUTE
0x00ca,Ê,LATIN CAPITAL LETTER E WITH CIRCUMFLEX
0x00cb,Ë,LATIN CAPITAL LETTER E WITH DIAERESIS
0x00cc,Ì,LATIN CAPITAL LETTER I WITH GRAVE
0x00cd,Í,LATIN CAPITAL LETTER I WITH ACUTE
0x00ce,Î,LATIN CAPITAL LETTER I WITH CIRCUMFLEX
0x00cf,Ï,LATIN CAPITAL LETTER I WITH DIAERESIS
0x00d0,Ð,LATIN CAPITAL LETTER ETH
0x00d1,Ñ,LATIN CAPITAL LETTER N WITH TILDE
0x00d2,Ò,LATIN CAPITAL LETTER O WITH GRAVE
0x00d3,Ó,LATIN CAPITAL LETTER O WITH ACUTE
0x00d4,Ô,LATIN CAPITAL LETTER O WITH CIRCUMFLEX
0x00d5,Õ,LATIN CAPITAL LETTER O WITH TILDE
0x00d6,Ö,LATIN CAPITAL LETTER O WITH DIAERESIS
0x00d7,×,MULTIPLICATION SIGN
0x00d8,Ø,LATIN CAPITAL LETTER O WITH STROKE
0x00d9,Ù,LATIN CAPITAL LETTER U WITH GRAVE
0x00da,Ú,LATIN CAPITAL LETTER U WITH ACUTE
0x00db,Û,LATIN CAPITAL LETTER U WITH CIRCUMFLEX
0x00dc,Ü,LATIN CAPITAL LETTER U WITH DIAERESIS
0x00dd,Ý,LATIN CAPITAL LETTER Y WITH ACUTE
0x00de,Þ,LATIN CAPITAL LETTER THORN
0x00df,ß,LATIN SMALL LETTER SHARP S
0x00e0,à,LATIN SMALL LETTER A WITH GRAVE
0x00e1,á,LATIN SMALL LETTER A WITH ACUTE
0x00e2,â,LATIN SMALL LETTER A WITH CIRCUMFLEX
0x00e3,ã,LATIN SMALL LETTER A WITH TILDE
0x00e4,ä,LATIN SMALL LETTER A WITH DIAERESIS
0x00e5,å,LATIN SMALL LETTER A WITH RING ABOVE
0x00e6,æ,LATIN SMALL LETTER AE
0x00e7,ç,LATIN SMALL LETTER C WITH CEDILLA
0x00e8,è,LATIN SMALL LETTER E WITH GRAVE
0x00e9,é,LATIN SMALL LETTER E WITH ACUTE
0x00ea,ê,LATIN SMALL LETTER E WITH CIRCUMFLEX
0x00eb,ë,LATIN SMALL LETTER E WITH DIAERESIS
0x00ec,ì,LATIN SMALL LETTER I WITH GRAVE
0x00ed,í,LATIN SMALL LETTER I WITH ACUTE
0x00ee,î,LATIN SMALL LETTER I WITH CIRCUMFLEX
0x00ef,ï,LATIN SMALL LETTER I WITH DIAERESIS
0x00f0,ð,LATIN SMALL LETTER ETH
0x00f1,ñ,LATIN SMALL LETTER N WITH TILDE
0x00f2,ò,LATIN SMALL LETTER O WITH GRAVE
0x00f3,ó,LATIN SMALL LETTER O WITH ACUTE
0x00f4,ô,LATIN SMALL LETTER O WITH CIRCUMFLEX
0x00f5,õ,LATIN SMALL LETTER O WITH TILDE
0x00f6,ö,LATIN SMALL LETTER O WITH DIAERESIS
0x00f7,÷,DIVISION SIGN
0x00f8,ø,LATIN SMALL LETTER O WITH STROKE
0x00f9,ù,LATIN SMALL LETTER U WITH GRAVE
0x00fa,ú,LATIN SMALL LETTER U WITH ACUTE
0x00fb,û,LATIN SMALL LETTER U WITH CIRCUMFLEX
0x00fc,ü,LATIN SMALL LETTER U WITH DIAERESIS
0x00fd,ý,LATIN SMALL LETTER Y WITH ACUTE
0x00fe,þ,LATIN SMALL LETTER THORN
0x00ff,ÿ,LATIN SMALL LETTER Y WITH DIAERESIS
0x0100,Ā,LATIN CAPITAL LETTER A WITH MACRON
0x0101,ā,LATIN SMALL LETTER A WITH MACRON
0x0102,Ă,LATIN CAPITAL LETTER A WITH BREVE
0x0103,ă,LATIN SMALL LETTER A WITH BREVE
0x0104,Ą,LATIN CAPITAL LETTER A WITH OGONEK
0x0105,ą,LATIN SMALL LETTER A WITH OGONEK
0x0106,Ć,LATIN CAPITAL LETTER C WITH ACUTE
0x0107,ć,LATIN SMALL LETTER C WITH ACUTE
0x0108,Ĉ,LATIN CAPITAL LETTER C WITH CIRCUMFLEX
0x0109,ĉ,LATIN SMALL LETTER C WITH CIRCUMFLEX
0x010a,Ċ,LATIN CAPITAL LETTER C WITH DOT ABOVE
0x010b,ċ,LATIN SMALL LETTER C WITH DOT ABOVE
0x010c,Č,LATIN CAPITAL LETTER C WITH CARON
0x010d,č,LATIN SMALL LETTER C WITH CARON
0x010e,Ď,LATIN CAPITAL LETTER D WITH CARON
0x010f,ď,LATIN SMALL LETTER D WITH CARON
0x0110,Đ,LATIN CAPITAL LETTER D WITH STROKE
0x0111,đ,LATIN SMALL LETTER D WITH STROKE
0x0112,Ē,LATIN CAPITAL LETTER E WITH MACRON
0x0113,ē,LATIN SMALL LETTER E WITH MACRON
0x0114,Ĕ,LATIN CAPITAL LETTER E WITH BREVE
0x0115,ĕ,LATIN SMALL LETTER E WITH BREVE
0x0116,Ė,LATIN CAPITAL LETTER E WITH DOT ABOVE
0x0117,ė,LATIN SMALL LETTER E WITH DOT ABOVE
0x0118,Ę,LATIN CAPITAL LETTER E WITH OGONEK
0x0119,ę,LATIN SMALL LETTER E WITH OGONEK
0x011a,Ě,LATIN CAPITAL LETTER E WITH CARON
0x011b,ě,LATIN SMALL LETTER E WITH CARON
0x011c,Ĝ,LATIN CAPITAL LETTER G WITH CIRCUMFLEX
0x011d,ĝ,LATIN SMALL LETTER G WITH CIRCUMFLEX
0x011e,Ğ,LATIN CAPITAL LETTER G WITH BREVE
0x011f,ğ,LATIN SMALL LETTER G WITH BREVE
0x0120,Ġ,LATIN CAPITAL LETTER G WITH DOT ABOVE
0x0121,ġ,LATIN SMALL LETTER G WITH DOT ABOVE
0x0122,Ģ,LATIN CAPITAL LETTER G WITH CEDILLA
0x0123,ģ,LATIN SMALL LETTER G WITH CEDILLA
0x0124,Ĥ,LATIN CAPITAL LETTER H WITH CIRCUMFLEX
0x0125,ĥ,LATIN SMALL LETTER H WITH CIRCUMFLEX
0x0126,Ħ,LATIN CAPITAL LETTER H WITH STROKE
0x0127,ħ,LATIN SMALL LETTER H WITH STROKE
0x0128,Ĩ,LATIN CAPITAL LETTER I WITH TILDE
0x0129,ĩ,LATIN SMALL LETTER I WITH TILDE
0x012a,Ī,LATIN CAPITAL LETTER I WITH MACRON
0x012b,ī,LATIN SMALL LETTER I WITH MACRON
0x012c,Ĭ,LATIN CAPITAL LETTER I WITH BREVE
0x012d,ĭ,LATIN SMALL LETTER I WITH BREVE
0x012e,Į,LATIN CAPITAL LETTER I WITH OGONEK
0x012f,į,LATIN SMALL LETTER I WITH OGONEK
0x0130,İ,LATIN CAPITAL LETTER I WITH DOT ABOVE
0x0131,ı,LATIN SMALL LETTER DOTLESS I
0x0132,Ĳ,LATIN CAPITAL LIGATURE IJ
0x0133,ĳ,LATIN SMALL LIGATURE IJ
0x0134,Ĵ,LATIN CAPITAL LETTER J WITH CIRCUMFLEX
0x0135,ĵ,LATIN SMALL LETTER J WITH CIRCUMFLEX
0x0136,Ķ,LATIN CAPITAL LETTER K WITH CEDILLA
0x0137,ķ,LATIN SMALL LETTER K WITH CEDILLA
0x0138,ĸ,LATIN SMALL LETTER KRA
0x0139,Ĺ,LATIN CAPITAL LETTER L WITH ACUTE
0x013a,ĺ,LATIN SMALL LETTER L WITH ACUTE
0x013b,Ļ,LATIN CAPITAL LETTER L WITH CEDILLA
0x013c,ļ,LATIN SMALL LETTER L WITH CEDILLA
0x013d,Ľ,LATIN CAPITAL LETTER L WITH CARON
0x013e,ľ,LATIN SMALL LETTER L WITH CARON
0x013f,Ŀ,LATIN CAPITAL LETTER L WITH MIDDLE DOT
0x0140,ŀ,LATIN SMALL LETTER L WITH MIDDLE DOT
0x0141,Ł,LATIN CAPITAL LETTER L WITH STROKE
0x0142,ł,LATIN SMALL LETTER L WITH STROKE
0x0143,Ń,LATIN CAPITAL LETTER N WITH ACUTE
0x0144,ń,LATIN SMALL LETTER N WITH ACUTE
0x0145,Ņ,LATIN CAPITAL LETTER N WITH CEDILLA
0x0146,ņ,LATIN SMALL LETTER N WITH CEDILLA
0x0147,Ň,LATIN CAPITAL LETTER N WITH CARON
0x0148,ň,LATIN SMALL LETTER N WITH CARON
0x0149,ŉ,LATIN SMALL LETTER N PRECEDED BY APOSTROPHE
0x014a,Ŋ,LATIN CAPITAL LETTER ENG
0x014b,ŋ,LATIN SMALL LETTER ENG
0x014c,Ō,LATIN CAPITAL LETTER O WITH MACRON
0x014d,ō,LATIN SMALL LETTER O WITH MACRON
0x014e,Ŏ,LATIN CAPITAL LETTER O WITH BREVE
0x014f,ŏ,LATIN SMALL LETTER O WITH BREVE
0x0150,Ő,LATIN CAPITAL LETTER O WITH DOUBLE ACUTE
0x0151,ő,LATIN SMALL LETTER O WITH DOUBLE ACUTE
0x0152,Œ,LATIN CAPITAL LIGATURE OE
0x0153,œ,LATIN SMALL LIGATURE OE
0x0154,Ŕ,LATIN CAPITAL LETTER R WITH ACUTE
0x0155,ŕ,LATIN SMALL LETTER R WITH ACUTE
0x0156,Ŗ,LATIN CAPITAL LETTER R WITH CEDILLA
0x0157,ŗ,LATIN SMALL LETTER R WITH CEDILLA
0x0158,Ř,LATIN CAPITAL LETTER R WITH CARON
0x0159,ř,LATIN SMALL LETTER R WITH CARON
0x015a,Ś,LATIN CAPITAL LETTER S WITH ACUTE
0x015b,ś,LATIN SMALL LETTER S WITH ACUTE
0x015c,Ŝ,LATIN CAPITAL LETTER S WITH CIRCUMFLEX
0x015d,ŝ,LATIN SMALL LETTER S WITH CIRCUMFLEX
0x015e,Ş,LATIN CAPITAL LETTER S WITH CEDILLA
0x015f,ş,LATIN SMALL LETTER S WITH CEDILLA
0x0160,Š,LATIN CAPITAL LETTER S WITH CARON
0x0161,š,LATIN SMALL LETTER S WITH CARON
0x0162,Ţ,LATIN CAPITAL LETTER T WITH CEDILLA
0x0163,ţ,LATIN SMALL LETTER T WITH CEDILLA
0x0164,Ť,LATIN CAPITAL LETTER T WITH CARON
0x0165,ť,LATIN SMALL LETTER T WITH CARON
0x0166,Ŧ,LATIN CAPITAL LETTER T WITH STROKE
0x0167,ŧ,LATIN SMALL LETTER T WITH STROKE
0x0168,Ũ,LATIN CAPITAL LETTER U WITH TILDE
0x0169,ũ,LATIN SMALL LETTER U WITH TILDE
0x016a,Ū,LATIN CAPITAL LETTER U WITH MACRON
0x016b,ū,LATIN SMALL LETTER U WITH MACRON
0x016c,Ŭ,LATIN CAPITAL LETTER U WITH BREVE
0x016d,ŭ,LATIN SMALL LETTER U WITH BREVE
0x016e,Ů,LATIN CAPITAL LETTER U WITH RING ABOVE
0x016f,ů,LATIN SMALL LETTER U WITH RING ABOVE
0x0170,Ű,LATIN CAPITAL LETTER U WITH DOUBLE ACUTE
0x0171,ű,LATIN SMALL LETTER U WITH DOUBLE ACUTE
0x0172,Ų,LATIN CAPITAL LETTER U WITH OGONEK
0x0173,ų,LATIN SMALL LETTER U WITH OGONEK
0x0174,Ŵ,LATIN CAPITAL LETTER W WITH CIRCUMFLEX
0x0175,ŵ,LATIN SMALL LETTER W WITH CIRCUMFLEX
0x0176,Ŷ,LATIN CAPITAL LETTER Y WITH CIRCUMFLEX
0x0177,ŷ,LATIN SMALL LETTER Y WITH CIRCUMFLEX
0x0178,Ÿ,LATIN CAPITAL LETTER Y WITH DIAERESIS
0x0179,Ź,LATIN CAPITAL LETTER Z WITH ACUTE
0x017a,ź,LATIN SMALL LETTER Z WITH ACUTE
0x017b,Ż,LATIN CAPITAL LETTER Z WITH DOT ABOVE
0x017c,ż,LATIN SMALL LETTER Z WITH DOT ABOVE
0x017d,Ž,LATIN CAPITAL LETTER Z WITH CARON
0x017e,ž,LATIN SMALL LETTER Z WITH CARON
0x017f,ſ,LATIN SMALL LETTER LONG S
0x0181,Ɓ,LATIN CAPITAL LETTER B WITH HOOK
0x0186,Ɔ,LATIN CAPITAL LETTER OPEN O
0x0189,Ɖ,LATIN CAPITAL LETTER AFRICAN D
0x018a,Ɗ,LATIN CAPITAL LETTER D WITH HOOK
0x018e,Ǝ,LATIN CAPITAL LETTER REVERSED E
0x018f,Ə,LATIN CAPITAL LETTER SCHWA
0x0190,Ɛ,LATIN CAPITAL LETTER OPEN E
0x0191,Ƒ,LATIN CAPITAL LETTER F WITH HOOK
0x0192,ƒ,LATIN SMALL LETTER F WITH HOOK
0x0193,Ɠ,LATIN CAPITAL LETTER G WITH HOOK
0x0194,Ɣ,LATIN CAPITAL LETTER GAMMA
0x0197,Ɨ,LATIN CAPITAL LETTER I WITH STROKE
0x0198,Ƙ,LATIN CAPITAL LETTER K WITH HOOK
0x0199,ƙ,LATIN SMALL LETTER K WITH HOOK
0x019d,Ɲ,LATIN CAPITAL LETTER N WITH LEFT HOOK
0x019f,Ɵ,LATIN CAPITAL LETTER O WITH MIDDLE TILDE
0x01a0,Ơ,LATIN CAPITAL LETTER O WITH HORN
0x01a1,ơ,LATIN SMALL LETTER O WITH HORN
0x01af,Ư,LATIN CAPITAL LETTER U WITH HORN
0x01b0,ư,LATIN SMALL LETTER U WITH HORN
0x01b2,Ʋ,LATIN CAPITAL LETTER V WITH HOOK
0x01b3,Ƴ,LATIN CAPITAL LETTER Y WITH HOOK
0x01b4,ƴ,LATIN SMALL LETTER Y WITH HOOK
0x01b7,Ʒ,LATIN CAPITAL LETTER EZH
0x01c0,ǀ,LATIN LETTER DENTAL CLICK
0x01c1,ǁ,LATIN LETTER LATERAL CLICK
0x01c2,ǂ,LATIN LETTER ALVEOLAR CLICK
0x01c3,ǃ,LATIN LETTER RETROFLEX CLICK
0x01cd,Ǎ,LATIN CAPITAL LETTER A WITH CARON
0x01ce,ǎ,LATIN SMALL LETTER A WITH CARON
0x01cf,Ǐ,LATIN CAPITAL LETTER I WITH CARON
0x01d0,ǐ,LATIN SMALL LETTER I WITH CARON
0x01d1,Ǒ,LATIN CAPITAL LETTER O WITH CARON
0x01d2,ǒ,LATIN SMALL LETTER O WITH CARON
0x01d3,Ǔ,LATIN CAPITAL LETTER U WITH CARON
0x01d4,ǔ,LATIN SMALL LETTER U WITH CARON
0x01d5,Ǖ,LATIN CAPITAL LETTER U WITH DIAERESIS AND MACRON
0x01d6,ǖ,LATIN SMALL LETTER U WITH DIAERESIS AND MACRON
0x01d7,Ǘ,LATIN CAPITAL LETTER U WITH DIAERESIS AND ACUTE
0x01d8,ǘ,LATIN SMALL LETTER U WITH DIAERESIS AND ACUTE
0x01d9,Ǚ,LATIN CAPITAL LETTER U WITH DIAERESIS AND CARON
0x01da,ǚ,LATIN SMALL LETTER U WITH DIAERESIS AND CARON
0x01db,Ǜ,LATIN CAPITAL LETTER U WITH DIAERESIS AND GRAVE
0x01dc,ǜ,LATIN SMALL LETTER U WITH DIAERESIS AND GRAVE
0x01dd,ǝ,LATIN SMALL LETTER TURNED E
0x01e4,Ǥ,LATIN CAPITAL LETTER G WITH STROKE
0x01e5,ǥ,LATIN SMALL LETTER G WITH STROKE
0x01e6,Ǧ,LATIN CAPITAL LETTER G WITH CARON
0x01e7,ǧ,LATIN SMALL LETTER G WITH CARON
0x01e8,Ǩ,LATIN CAPITAL LETTER K WITH CARON
0x01e9,ǩ,LATIN SMALL LETTER K WITH CARON
0x01ea,Ǫ,LATIN CAPITAL LETTER O WITH OGONEK
0x01eb,ǫ,LATIN SMALL LETTER O WITH OGONEK
0x01ee,Ǯ,LATIN CAPITAL LETTER EZH WITH CARON
0x01ef,ǯ,LATIN SMALL LETTER EZH WITH CARON
0x01f0,ǰ,LATIN SMALL LETTER J WITH CARON
0x01f4,Ǵ,LATIN CAPITAL LETTER G WITH ACUTE
0x01f5,ǵ,LATIN SMALL LETTER G WITH ACUTE
0x01f8,Ǹ,LATIN CAPITAL LETTER N WITH GRAVE
0x01f9,ǹ,LATIN SMALL LETTER N WITH GRAVE
0x01fa,Ǻ,LATIN CAPITAL LETTER A WITH RING ABOVE AND ACUTE
0x01fb,ǻ,LATIN SMALL LETTER A WITH RING ABOVE AND ACUTE
0x01fc,Ǽ,LATIN CAPITAL LETTER AE WITH ACUTE
0x01fd,ǽ,LATIN SMALL LETTER AE WITH ACUTE
0x01fe,Ǿ,LATIN CAPITAL LETTER O WITH STROKE AND ACUTE
0x01ff,ǿ,LATIN SMALL LETTER O WITH STROKE AND ACUTE
0x0218,Ș,LATIN CAPITAL LETTER S WITH COMMA BELOW
0x0219,ș,LATIN SMALL LETTER S WITH COMMA BELOW
0x021a,Ț,LATIN CAPITAL LETTER T WITH COMMA BELOW
0x021b,ț,LATIN SMALL LETTER T WITH COMMA BELOW
0x021e,Ȟ,LATIN CAPITAL LETTER H WITH CARON
0x021f,ȟ,LATIN SMALL LETTER H WITH CARON
0x0226,Ȧ,LATIN CAPITAL LETTER A WITH DOT ABOVE
0x0227,ȧ,LATIN SMALL LETTER A WITH DOT ABOVE
0x022e,Ȯ,LATIN CAPITAL LETTER O WITH DOT ABOVE
0x022f,ȯ,LATIN SMALL LETTER O WITH DOT ABOVE
0x0232,Ȳ,LATIN CAPITAL LETTER Y WITH MACRON
0x0233,ȳ,LATIN SMALL LETTER Y WITH MACRON
0x0241,Ɂ,LATIN CAPITAL LETTER GLOTTAL STOP
0x0242,ɂ,LATIN SMALL LETTER GLOTTAL STOP
0x0244,Ʉ,LATIN CAPITAL LETTER U BAR
0x024c,Ɍ,LATIN CAPITAL LETTER R WITH STROKE
0x024d,ɍ,LATIN SMALL LETTER R WITH STROKE
0x0250,ɐ,LATIN SMALL LETTER TURNED A
0x0251,ɑ,LATIN SMALL LETTER ALPHA
0x0252,ɒ,LATIN SMALL LETTER TURNED ALPHA
0x0253,ɓ,LATIN SMALL LETTER B WITH HOOK
0x0254,ɔ,LATIN SMALL LETTER OPEN O
0x0255,ɕ,LATIN SMALL LETTER C WITH CURL
0x0256,ɖ,LATIN SMALL LETTER D WITH TAIL
0x0257,ɗ,LATIN SMALL LETTER D WITH HOOK
0x0258,ɘ,LATIN SMALL LETTER REVERSED E
0x0259,ə,LATIN SMALL LETTER SCHWA
0x025a,ɚ,LATIN SMALL LETTER SCHWA WITH HOOK
0x025b,ɛ,LATIN SMALL LETTER OPEN E
0x025c,ɜ,LATIN SMALL LETTER REVERSED OPEN E
0x025e,ɞ,LATIN SMALL LETTER CLOSED REVERSED OPEN E
0x025f,ɟ,LATIN SMALL LETTER DOTLESS J WITH STROKE
0x0260,ɠ,LATIN SMALL LETTER G WITH HOOK
0x0261,ɡ,LATIN SMALL LETTER SCRIPT G
0x0263,ɣ,LATIN SMALL LETTER GAMMA
0x0264,ɤ,LATIN SMALL LETTER RAMS HORN
0x0265,ɥ,LATIN SMALL LETTER TURNED H
0x0266,ɦ,LATIN SMALL LETTER H WITH HOOK
0x0267,ɧ,LATIN SMALL LETTER HENG WITH HOOK
0x0268,ɨ,LATIN SMALL LETTER I WITH STROKE
0x026a,ɪ,LATIN LETTER SMALL CAPITAL I
0x026c,ɬ,LATIN SMALL LETTER L WITH BELT
0x026d,ɭ,LATIN SMALL LETTER L WITH RETROFLEX HOOK
0x026e,ɮ,LATIN SMALL LETTER LEZH
0x026f,ɯ,LATIN SMALL LETTER TURNED M
0x0270,ɰ,LATIN SMALL LETTER TURNED M WITH LONG LEG
0x0271,ɱ,LATIN SMALL LETTER M WITH HOOK
0x0272,ɲ,LATIN SMALL LETTER N WITH LEFT HOOK
0x0273,ɳ,LATIN SMALL LETTER N WITH RETROFLEX HOOK
0x0275,ɵ,LATIN SMALL LETTER BARRED O
0x0279,ɹ,LATIN SMALL LETTER TURNED R
0x027a,ɺ,LATIN SMALL LETTER TURNED R WITH LONG LEG
0x027b,ɻ,LATIN SMALL LETTER TURNED R WITH HOOK
0x027d,ɽ,LATIN SMALL LETTER R WITH TAIL
0x027e,ɾ,LATIN SMALL LETTER R WITH FISHHOOK
0x0281,ʁ,LATIN LETTER SMALL CAPITAL INVERTED R
0x0282,ʂ,LATIN SMALL LETTER S WITH HOOK
0x0283,ʃ,LATIN SMALL LETTER ESH
0x0284,ʄ,LATIN SMALL LETTER DOTLESS J WITH STROKE AND HOOK
0x0288,ʈ,LATIN SMALL LETTER T WITH RETROFLEX HOOK
0x0289,ʉ,LATIN SMALL LETTER U BAR
0x028a,ʊ,LATIN SMALL LETTER UPSILON
0x028b,ʋ,LATIN SMALL LETTER V WITH HOOK
0x028c,ʌ,LATIN SMALL LETTER TURNED V
0x028d,ʍ,LATIN SMALL LETTER TURNED W
0x028e,ʎ,LATIN SMALL LETTER TURNED Y
0x0290,ʐ,LATIN SMALL LETTER Z WITH RETROFLEX HOOK
0x0291,ʑ,LATIN SMALL LETTER Z WITH CURL
0x0292,ʒ,LATIN SMALL LETTER EZH
0x0294,ʔ,LATIN LETTER GLOTTAL STOP
0x0295,ʕ,LATIN LETTER PHARYNGEAL VOICED FRICATIVE
0x0298,ʘ,LATIN LETTER BILABIAL CLICK
0x029d,ʝ,LATIN SMALL LETTER J WITH CROSSED-TAIL
0x02a1,ʡ,LATIN LETTER GLOTTAL STOP WITH STROKE
0x02a2,ʢ,LATIN LETTER REVERSED GLOTTAL STOP WITH STROKE
0x02b7,ʷ,MODIFIER LETTER SMALL W
0x02b9,ʹ,MODIFIER LETTER PRIME
0x02bb,ʻ,MODIFIER LETTER TURNED COMMA
0x02bc,ʼ,MODIFIER LETTER APOSTROPHE
0x02be,ʾ,MODIFIER LETTER RIGHT HALF RING
0x02bf,ʿ,MODIFIER LETTER LEFT HALF RING
0x02c6,ˆ,MODIFIER LETTER CIRCUMFLEX ACCENT
0x02c7,ˇ,CARON
0x02c8,ˈ,MODIFIER LETTER VERTICAL LINE
0x02c9,ˉ,MODIFIER LETTER MACRON
0x02ca,ˊ,MODIFIER LETTER ACUTE ACCENT
0x02cb,ˋ,MODIFIER LETTER GRAVE ACCENT
0x02cc,ˌ,MODIFIER LETTER LOW VERTICAL LINE
